fast-dispatching,fast-firing,fast-in,fast-out,fast-sent,hedger-input,hedger-input-filter,hedger-output-filter,hedger-process,hedger-send,ht-eod-in,htNotifyOrder,htPrepareOrder,input-exec,virtual-dispatching,virtual-out
180,4,613,751,9,19186,92,18,1038,3374,800,1823,9723,1077,4,6
180,4,613,874,3,19191,84,21,1038,3373,800,1823,9724,1077,4,6
168,46,24,302,8,4868,78,21,1546,397,861,41,3555,542,13,11
168,46,25,293,9,4899,48,20,1579,366,861,41,3566,542,13,11
96,28,7,35,2,3763,54,16,449,111,105,12,1094,222,16,16
96,28,9,994,6,3763,58,12,430,130,105,18,1068,222,16,16
183,11,16,147,5,2653,100,37,487,117,564,27,934,545,8,8
183,11,8,153,4,2672,87,33,620,164,564,15,896,545,8,8
51,20,12,110,4,2924,104,26,438,104,130,23,794,185,48,17
51,20,9,89,3,2963,76,27,615,106,130,17,635,185,48,17
139,5,9,57,2,2224,37,14,381,127,391,26,684,200,1,2
139,5,7,45,1,2242,23,13,411,100,391,23,802,200,1,2
108,5,8,47,3,2644,46,18,348,101,282,24,719,140,6,7
108,5,6,43,2,2648,41,52,658,153,282,14,488,140,6,7
,,10,54,2,,31,110,290,369,,30,613,,,
,,14,51,8,,9,11,688,363,,8,75,,,
131,20,17,95,4,3141,123,93,989,419,307,32,1131,119,23,2
131,20,24,133,7,3166,142,50,1064,324,307,52,2044,119,23,2
77,13,9,44,3,2181,56,33,440,581,345,20,594,330,3,3
77,13,6,28,2,2152,77,41,440,325,345,13,894,330,3,3
240,9,13,61,4,3302,45,19,395,99,266,26,745,156,5,27
240,9,10,56,2,3302,41,25,539,111,266,22,803,156,5,27
7,20,20,98,6,3217,85,55,1136,431,549,41,1685,209,1,1
7,20,21,73,4,3192,134,61,1214,449,549,39,1703,209,1,1
311,7,13,41,3,2376,50,17,307,108,241,19,708,303,2,4
311,7,10,28,1,2392,20,31,304,111,241,12,743,303,2,4
189,8,18,84,4,4515,66,26,557,161,31,32,1489,242,5,7
189,8,15,103,5,4507,39,21,555,196,31,28,1572,242,5,7
81,2,8,56,3,1472,42,22,355,83,315,19,538,128,0,1
81,2,22,33,2,1472,45,19,689,72,315,16,417,128,0,1
25,6,9,41,2,3006,31,39,360,86,377,18,636,317,17,5
25,6,9,42,2,3006,29,41,365,81,377,16,638,317,17,5
115,3,17,48,8,3716,44,27,335,111,364,19,582,214,1,3
115,3,6,29,2,3736,25,26,343,103,364,19,667,214,1,3
192,9,21,43,3,2945,36,28,603,104,86,18,609,409,4,4
192,9,9,63,2,2945,40,24,643,142,86,25,837,409,4,4
166,7,8,38,3,2102,38,14,428,93,111,18,634,263,5,6
166,7,9,44,1,2111,26,18,444,76,111,29,946,263,5,6
70,5,10,40,2,2354,46,30,335,134,89,19,612,334,20,4
70,5,6,38,1,2356,59,21,381,96,89,14,777,334,20,4
236,5,11,46,3,3351,79,34,634,179,303,22,1074,158,1,3
236,5,7,27,2,3386,56,31,628,177,303,13,1135,158,1,3
55,6,21,47,11,2340,34,16,309,87,219,13,929,210,1,1
55,6,9,522,3,2340,36,14,309,87,219,21,567,210,1,1
58,7,19,67,3,2418,38,24,455,107,298,15,728,348,6,5
58,7,18,66,4,2417,42,20,476,98,298,26,707,348,6,5
53,5,10,46,3,2529,31,15,324,96,262,21,567,91,1,2
53,5,6,23,1,2530,27,18,328,92,262,17,608,91,1,2
55,3,12,53,4,1701,74,32,526,116,364,25,751,174,1,1
55,3,19,63,5,1701,84,21,491,172,364,43,1189,174,1,1
48,11,10,46,4,4922,40,48,397,87,125,23,653,436,5,12
48,11,11,93,4,4916,42,29,439,209,125,35,786,436,5,12
65,14,9,57,3,3914,34,17,304,102,64,19,640,142,14,4
65,14,9,61,1,3938,16,11,304,102,64,17,642,142,14,4
179,19,9,46,3,2527,41,19,301,86,525,40,558,506,2,3
179,19,7,29,2,2568,24,16,283,84,525,14,618,506,2,3
44,4,15,64,4,1740,40,21,314,96,366,25,798,252,1,1
44,4,8,29,3,1747,31,23,317,94,366,22,873,252,1,1
129,4,5,36,3,2785,63,41,387,53,354,11,571,197,1,2
129,4,11,49,3,2741,47,27,403,64,354,20,590,197,1,2
172,2,13,53,4,3069,63,32,563,169,301,25,1094,190,1,1
172,2,6,26,1,3069,57,38,571,161,301,15,1177,190,1,1
113,8,9,38,3,2337,24,15,293,66,187,25,539,384,6,5
113,8,9,53,3,2327,36,14,292,67,187,30,710,384,6,5
175,21,12,61,4,1994,41,17,346,85,196,23,1126,231,9,9
175,21,9,63,2,2018,17,17,410,53,196,22,1098,231,9,9
185,12,16,94,5,2723,74,17,384,105,85,35,874,243,6,4
185,12,16,99,1,2723,68,39,368,105,85,36,873,243,6,4
199,9,8,43,3,2334,26,19,587,161,96,32,528,416,6,6
199,9,6,20,2,2333,27,19,517,240,96,11,588,416,6,6
42,17,19,79,5,2758,52,31,708,147,416,38,1051,107,1,1
42,17,19,48,4,2785,48,30,698,139,416,35,1089,107,1,1
56,4,9,52,7,2575,32,24,361,80,314,18,522,190,5,2
